Country,Country Code,Series,Series Code,2023Q2 [2023Q2],2023Q3 [2023Q3],2023Q4 [2023Q4],2024Q1 [2024Q1],2024Q2 [2024Q2],2024Q3 [2024Q3],2024Q4 [2024Q4],2025Q1 [2025Q1],2025Q2 [2025Q2],2025Q3 [2025Q3]
Advanced Economies,AME,"Core CPI,not seas.adj,,,",CORENS,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Core CPI,seas.adj,,,",CORESA,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"CPI Price, % y-o-y, median weighted, seas. adj.,",CPTOTSAXMZGY,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"CPI Price, % y-o-y, not seas. adj.,,",CPTOTSAXNZGY,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"CPI Price, seas. adj.,,,",CPTOTSAXN,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"CPI Price,not seas.adj,,,",CPTOTNSXN,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,2747101.68,2711504.085,2804473.724,2747263.256,2795362.329,2775144.416,2833256.172,2836982.092,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",DXGSRMRCHSAKD,2741321.592,2749924.972,2759485.778,2759963.791,2784036.652,2812467.532,2786239.75,2858520.685,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, current US$, millions, not seas. adj.",DXGSRMRCHNSCD,3264405.659,3194715.008,3303811.074,3243778.984,3295276.447,3280910.86,3314700.754,3313894.666,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, current US$, millions, seas. adj.",DXGSRMRCHSACD,3240273.389,3247260.013,3258656.509,3262387.882,3275119.738,3340401.312,3277467.295,3348173.133,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, Price, US$, not seas. adj.",DXGSRMRCHNSXD,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Exports Merchandise, Customs, Price, US$, seas. adj.",DXGSRMRCHSAXD,1.182011406,1.18085404,1.180892663,1.182040102,1.176392464,1.187711955,1.176304837,1.171295751,..,..
Advanced Economies,AME,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,13691532.38,13735989.94,13784766.57,13837786.67,13913320.03,13983758.42,14048721.97,14076797.88,..,..
Advanced Economies,AME,"GDP,current LCU,millions,seas. adj.,",NYGDPMKTPSACN,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,15466400.21,15605710.19,15658589.08,15923579.91,15976349.15,16342075.28,16322047.92,16333756.38,..,..
Advanced Economies,AME,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,2635629.523,2593771.323,2640425.69,2570680.785,2647247.463,2690676.29,2738416.918,2800432.645,..,..
Advanced Economies,AME,"Imports Merchandise, Customs, constant US$, millions, seas. adj.",DMGSRMRCHSAKD,2968916.494,2928816.125,2934189.415,2907303.788,2979828.556,3028735.447,3049743.246,3153861.582,..,..
Advanced Economies,AME,"Imports Merchandise, Customs, current US$, millions, not seas. adj.",DMGSRMRCHNSCD,3076986.277,2997512.615,3053021.25,2962700.945,3069755.678,3123378.801,3144631.84,3204211.859,..,..
Advanced Economies,AME,"Imports Merchandise, Customs, current US$, millions, seas. adj.",DMGSRMRCHSACD,3403548.537,3343572.131,3343169.993,3319507.985,3393659.519,3472406.418,3450709.921,3575835.113,..,..
Advanced Economies,AME,"Imports Merchandise, Customs, Price, US$, not seas. adj.",DMGSRMRCHNSXD,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Imports Merchandise, Customs, Price, US$, seas. adj.",DMGSRMRCHSAXD,1.146394162,1.14161217,1.139384518,1.141782293,1.138877441,1.146487198,1.131475551,1.133795831,..,..
Advanced Economies,AME,"Industrial Production, constant US$, seas. adj.,,",IPTOTSAKD,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Core CPI,not seas.adj,,,",CORENS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Core CPI,seas.adj,,,",CORESA,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"CPI Price, % y-o-y, median weighted, seas. adj.,",CPTOTSAXMZGY,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"CPI Price, % y-o-y, not seas. adj.,,",CPTOTSAXNZGY,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"CPI Price, seas. adj.,,,",CPTOTSAXN,..,..,..,..,..,..,..,..,..,..
